sku,name,description,category,barcode,selling_price,cost_price,tax_rate,stock,min_stock_level,max_stock_level,reorder_point,reorder_quantity,unit_of_measure,supplier_name,supplier_contact,is_active,receipt_number,transaction_date,location_name,quantity,unit_price,discount_amount,tax_amount,payment_method,customer_name,customer_email,customer_phone,cashier_name,notes
BEV-001,Coca-Cola 20oz,Classic Coca-Cola 20oz bottle,Beverages,049000050011,2.49,1.25,8.25,342,24,200,36,100,each,Coca-Cola Co,orders@coca-cola.com,true,,,,,,,,,,,,,
BEV-002,Diet Coke 20oz,Diet Coca-Cola 20oz bottle,Beverages,049000050028,2.49,1.25,8.25,287,24,200,36,100,each,Coca-Cola Co,orders@coca-cola.com,true,,,,,,,,,,,,,
BEV-003,Sprite 20oz,Sprite Lemon-Lime 20oz bottle,Beverages,049000050035,2.49,1.25,8.25,356,24,200,36,100,each,Coca-Cola Co,orders@coca-cola.com,true,,,,,,,,,,,,,
BEV-004,Mountain Dew 20oz,Mountain Dew Citrus 20oz,Beverages,012000170019,2.49,1.25,8.25,194,24,200,36,100,each,PepsiCo,orders@pepsico.com,true,,,,,,,,,,,,,
BEV-005,Pepsi 20oz,Pepsi Cola 20oz bottle,Beverages,012000170002,2.49,1.25,8.25,212,24,200,36,100,each,PepsiCo,orders@pepsico.com,true,,,,,,,,,,,,,
BEV-006,Dr Pepper 20oz,Dr Pepper 20oz bottle,Beverages,078000154996,2.49,1.25,8.25,178,24,200,36,100,each,Dr Pepper Snapple,orders@keurigdrpepper.com,true,,,,,,,,,,,,,
BEV-007,Gatorade Cool Blue 28oz,Gatorade Cool Blue flavor 28oz,Beverages,052000140159,3.29,1.75,8.25,143,18,150,24,75,each,PepsiCo,orders@pepsico.com,true,,,,,,,,,,,,,
BEV-008,Gatorade Fruit Punch 28oz,Gatorade Fruit Punch flavor 28oz,Beverages,052000140166,3.29,1.75,8.25,156,18,150,24,75,each,PepsiCo,orders@pepsico.com,true,,,,,,,,,,,,,
BEV-009,Gatorade Lemon-Lime 28oz,Gatorade Lemon-Lime flavor 28oz,Beverages,052000140173,3.29,1.75,8.25,161,18,150,24,75,each,PepsiCo,orders@pepsico.com,true,,,,,,,,,,,,,
BEV-010,Gatorade Orange 28oz,Gatorade Orange flavor 28oz,Beverages,052000140180,3.29,1.75,8.25,434,18,150,24,75,each,PepsiCo,orders@pepsico.com,true,,,,,,,,,,,,,
BEV-011,Powerade Berry 32oz,Powerade Berry Blast 32oz,Beverages,049000053142,2.99,1.50,8.25,389,18,150,24,75,each,Coca-Cola Co,orders@coca-cola.com,true,,,,,,,,,,,,,
BEV-012,Powerade Mountain Blast 32oz,Powerade Mountain Blast 32oz,Beverages,049000053159,2.99,1.50,8.25,167,18,150,24,75,each,Coca-Cola Co,orders@coca-cola.com,true,,,,,,,,,,,,,
BEV-013,Dasani Water 20oz,Dasani Purified Water 20oz,Beverages,049000050067,1.99,0.85,8.25,189,48,400,60,200,each,Coca-Cola Co,orders@coca-cola.com,true,,,,,,,,,,,,,
BEV-014,Aquafina Water 20oz,Aquafina Purified Water 20oz,Beverages,012000170057,1.99,0.85,8.25,145,48,400,60,200,each,PepsiCo,orders@pepsico.com,true,,,,,,,,,,,,,
BEV-015,Evian Water 1L,Evian Natural Spring Water 1 Liter,Beverages,033383700015,2.99,1.45,8.25,172,24,200,36,100,each,Danone,orders@danone.com,true,,,,,,,,,,,,,
BEV-016,Smartwater 1L,Smartwater Vapor Distilled 1 Liter,Beverages,007861271021,2.99,1.45,8.25,234,24,200,36,100,each,Glaceau,orders@glaceau.com,true,,,,,,,,,,,,,
BEV-017,Red Bull 8.4oz,Red Bull Energy Drink 8.4oz,Beverages,611269122012,3.99,2.25,8.25,124,24,150,30,60,each,Red Bull,redbull@distribution.com,true,,,,,,,,,,,,,
BEV-018,Red Bull Sugar Free 8.4oz,Red Bull Sugar Free 8.4oz,Beverages,611269122029,3.99,2.25,8.25,118,24,150,30,60,each,Red Bull,redbull@distribution.com,true,,,,,,,,,,,,,
BEV-019,Monster Energy 16oz,Monster Energy Green 16oz,Beverages,070847034912,3.49,1.95,8.25,144,24,150,30,60,each,Monster Energy,orders@monsterenergy.com,true,,,,,,,,,,,,,
BEV-020,Monster Ultra 16oz,Monster Ultra Zero Sugar 16oz,Beverages,070847035006,3.49,1.95,8.25,138,18,120,24,60,each,Monster Energy,orders@monsterenergy.com,true,,,,,,,,,,,,,
BEV-021,Monster Rehab 15.5oz,Monster Rehab Tea + Lemonade 15.5oz,Beverages,070847035013,3.49,1.95,8.25,132,18,120,24,60,each,Monster Energy,orders@monsterenergy.com,true,,,,,,,,,,,,,
BEV-022,Rockstar Energy 16oz,Rockstar Original Energy 16oz,Beverages,081182701021,2.99,1.65,8.25,98,18,120,24,60,each,PepsiCo,orders@pepsico.com,true,,,,,,,,,,,,,
BEV-023,5-Hour Energy Berry 1.93oz,5-Hour Energy Berry Flavor 1.93oz,Beverages,719410600018,3.49,1.95,8.25,87,24,150,30,60,each,Living Essentials,orders@5hourenergy.com,true,,,,,,,,,,,,,
BEV-024,Starbucks Frappuccino Mocha 13.7oz,Starbucks Mocha Frappuccino 13.7oz,Beverages,012000170071,3.99,2.15,8.25,112,12,100,18,50,each,Starbucks,orders@starbucks.com,true,,,,,,,,,,,,,
BEV-025,Starbucks Frappuccino Vanilla 13.7oz,Starbucks Vanilla Frappuccino 13.7oz,Beverages,012000170088,3.99,2.15,8.25,108,12,100,18,50,each,Starbucks,orders@starbucks.com,true,,,,,,,,,,,,,
BEV-026,Starbucks Doubleshot Espresso 6.5oz,Starbucks Doubleshot Espresso 6.5oz,Beverages,012000170101,2.99,1.55,8.25,76,18,150,24,60,each,Starbucks,orders@starbucks.com,true,,,,,,,,,,,,,
BEV-027,Arizona Green Tea 23oz,Arizona Green Tea with Ginseng 23oz,Beverages,061300877043,1.29,0.65,8.25,267,24,200,36,100,each,Arizona Beverages,orders@arizona.com,true,,,,,,,,,,,,,
